,Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
62,21,1,3,0,8,0,0,1
63,21,1,3,0,9,0,0,1
64,21,1,3,1,8,1,0,1
65,22,1,4,0,9,0,0,1
66,22,1,2,1,9,0,0,1
67,21,1,3,0,8,0,0,1
68,22,1,2,2,9,0,0,1
69,21,1,4,0,8,1,1,1
70,22,1,5,1,8,0,0,1
71,22,1,3,0,9,0,0,1
72,22,1,2,3,9,0,0,1
73,21,1,3,0,8,0,0,1
74,22,1,3,1,9,0,0,1
75,21,1,6,0,8,0,0,1
76,21,1,4,0,9,1,0,1
77,22,1,4,0,8,1,1,1
78,22,1,3,0,8,0,0,1
79,21,1,2,1,8,0,0,1
80,21,1,6,0,9,0,0,1
81,21,1,2,1,9,0,0,1
82,22,1,4,0,8,1,0,1
83,21,1,3,0,8,0,0,1
84,21,1,4,0,8,1,0,1
85,21,1,1,2,7,0,0,1
86,21,1,2,0,8,0,0,1
87,21,1,2,0,6,0,0,0
88,22,0,6,1,6,1,0,0
89,22,1,4,1,7,0,0,0
90,21,1,6,1,8,0,1,1
91,22,1,3,1,6,0,0,1
92,21,1,5,1,6,0,0,1
93,22,0,3,2,7,0,0,0
94,22,1,1,0,6,0,0,0
95,22,1,2,1,8,0,0,1
96,21,1,2,2,7,0,0,0
97,22,1,3,0,8,0,0,1
98,22,0,3,0,7,0,0,0
99,21,1,4,0,7,0,0,0
100,23,1,2,0,7,0,0,1
101,23,1,6,0,6,0,0,1
102,23,1,4,1,5,0,0,0
103,24,1,3,2,6,0,0,1
104,23,1,5,0,5,1,0,0
105,23,1,3,1,6,0,0,0
106,24,0,3,0,6,0,0,1
107,24,1,3,1,7,0,0,1
108,24,1,6,1,7,0,1,1
109,23,1,3,1,7,0,0,1
110,23,1,3,1,6,0,0,1
111,24,1,1,1,6,0,1,1
112,24,1,5,0,7,0,0,0
113,23,1,3,1,6,0,0,0
114,24,1,2,0,6,0,0,1
115,23,1,5,0,6,0,0,0
116,23,1,3,1,7,1,0,1
117,23,1,3,1,7,1,0,1
118,24,1,3,3,5,0,1,1
119,23,1,4,0,6,1,0,1
120,23,0,3,2,6,0,0,1
121,23,1,1,1,7,0,0,0
122,23,1,3,1,5,0,0,1
123,23,1,3,1,7,0,0,1
124,23,1,4,2,7,1,0,1
125,24,1,3,1,5,0,0,0
126,24,1,3,1,7,0,0,0
127,24,1,2,2,7,0,0,1
128,24,1,1,0,5,0,0,0
129,24,1,3,1,7,0,0,1
130,23,1,4,0,6,1,1,1
131,23,1,2,0,6,0,0,0
132,23,0,4,1,7,1,0,0
133,24,1,2,1,6,0,0,1
134,23,1,4,1,6,1,1,1
135,24,1,2,0,6,0,0,1
136,24,1,4,0,6,0,0,1
137,24,1,3,0,5,0,0,1
138,23,1,5,0,5,0,0,0
139,24,1,5,0,5,1,0,0
140,23,1,2,1,5,0,0,1
141,23,1,1,0,7,0,0,1
142,24,1,3,3,7,0,0,1
143,24,1,2,2,5,0,0,1
144,24,1,2,2,5,0,0,1
145,23,1,6,0,7,1,0,1
146,24,1,3,1,6,0,0,1
147,23,1,4,0,5,1,1,0
148,23,1,5,0,6,0,0,0
149,24,1,2,1,7,0,0,1
150,23,1,5,0,5,0,0,0
151,24,0,3,0,5,0,0,0
152,23,1,2,1,5,0,0,1
153,23,0,1,2,6,0,0,0
154,24,1,6,0,7,0,0,1
155,24,1,1,2,6,0,0,1
156,23,1,3,0,5,0,0,0
157,24,1,2,2,6,0,0,1
158,23,1,2,1,6,0,0,0
159,24,1,2,0,7,0,1,1
160,22,1,1,0,7,0,0,1
161,22,1,4,0,5,1,0,0
162,22,1,2,1,5,0,0,0
163,21,1,2,1,6,0,0,1
164,21,1,6,3,6,1,0,1
165,21,1,2,0,6,0,1,1
166,21,1,5,0,5,0,0,0
167,21,0,3,1,6,0,0,0
168,22,1,2,1,5,0,0,0
169,22,1,2,1,5,0,0,0
170,21,1,6,1,6,0,0,1
171,21,0,3,2,5,0,0,0
172,21,1,3,1,6,0,0,1
173,22,1,6,0,6,0,0,0
174,22,1,6,0,7,0,1,0
175,21,1,3,0,7,0,0,1
176,21,1,1,0,7,0,0,1
177,22,0,3,1,7,1,0,0
178,22,1,5,1,6,0,0,1
179,21,0,4,1,5,1,0,0
180,22,0,3,1,6,1,0,0
181,22,1,2,2,6,0,0,1
182,21,1,1,1,6,0,1,0
183,22,1,6,0,5,0,0,0
184,21,1,5,2,5,0,1,0
185,22,1,6,1,7,0,0,0
186,21,0,2,1,7,1,0,0
187,21,1,2,1,6,0,0,0
188,22,0,1,1,5,1,0,0
189,21,0,3,0,6,0,0,0
190,22,1,2,0,5,0,0,0
191,22,1,2,0,5,0,0,0
192,21,1,4,0,7,1,0,0
193,21,1,2,0,5,0,0,0
194,21,1,3,0,5,0,1,0
195,22,0,2,1,5,1,0,0
196,21,1,1,2,6,1,1,0
197,21,1,3,1,5,1,1,0
198,22,0,2,2,7,1,0,0
199,21,1,2,0,8,0,0,1
200,21,1,2,2,7,0,0,1
201,22,1,2,1,6,0,0,0
202,21,0,3,2,6,1,0,1
203,21,1,1,1,7,0,0,0
204,21,0,2,1,7,1,0,0
205,21,1,4,0,8,1,0,1
206,22,1,4,0,8,1,0,1
207,22,1,3,1,6,0,0,0
208,21,0,5,0,7,0,0,0
209,21,1,4,0,8,0,0,1
210,21,1,2,2,8,0,0,1
211,21,1,3,1,7,0,0,0
212,22,1,3,0,6,0,1,0
213,22,1,3,1,8,0,0,1
214,21,1,5,1,7,0,0,1
215,21,0,6,1,6,0,0,0
216,21,1,2,3,6,0,0,1
217,21,1,6,1,7,1,0,0
218,22,1,5,1,7,0,0,0
219,21,1,1,2,6,1,1,0
220,22,1,5,1,8,0,1,1
221,22,1,2,2,8,0,0,1
222,21,1,4,1,6,1,1,0
223,22,1,2,0,7,0,0,0
224,22,1,6,0,6,0,0,0
225,21,1,6,0,6,1,0,0
226,21,0,2,1,7,1,0,0
227,21,1,2,2,7,0,0,1
228,21,0,4,1,6,1,0,0
229,22,1,4,0,6,1,0,0
230,22,1,1,1,8,0,0,1
231,22,1,2,1,8,0,0,1
232,21,0,3,0,8,0,0,1
233,22,1,3,1,7,0,0,0
234,21,1,3,0,8,0,1,1
235,22,1,2,1,8,0,0,1
236,22,1,2,1,7,0,0,0
237,21,0,3,2,7,0,0,1
238,21,0,4,1,8,1,0,1
239,21,0,2,1,6,1,0,0
240,22,0,3,1,7,0,0,0
241,22,0,2,0,6,1,0,0
242,21,1,3,2,8,1,0,1
243,22,1,6,0,7,1,1,0
244,21,1,5,1,6,0,0,0
245,21,1,1,2,6,0,0,1
246,21,1,4,1,7,1,0,0
247,22,1,6,0,7,0,0,0
248,22,0,5,1,6,0,0,0
249,22,1,2,0,8,0,0,1
250,21,1,2,3,8,0,0,1
251,21,0,3,0,8,0,1,1
252,22,1,1,0,6,0,0,0
253,22,1,6,1,7,0,0,0
254,22,1,3,1,8,1,1,1
255,22,0,2,1,8,1,1,1
256,22,1,4,1,8,1,0,1
257,21,1,5,2,6,0,0,1
258,22,1,1,1,6,0,0,0
259,22,1,3,0,8,0,0,1
260,22,0,2,1,7,1,0,0
261,21,1,3,1,8,0,0,1
262,21,1,5,1,7,0,0,1
263,22,1,4,0,8,1,1,1
264,21,1,6,0,6,0,0,0
265,21,1,3,1,6,0,0,0
266,21,0,3,1,8,0,0,1
267,22,1,1,1,8,1,1,1
268,21,1,6,1,7,0,0,0
269,22,1,3,2,6,0,0,1
270,21,1,5,0,6,1,0,0
271,22,1,3,1,7,1,1,0
272,21,1,1,0,6,0,0,0
273,22,1,2,0,8,0,1,1
274,21,1,1,1,7,0,0,0
275,22,1,4,0,6,1,0,0
276,21,1,6,0,7,0,0,0
277,21,0,6,1,7,1,0,0
278,21,1,2,1,7,0,0,0
279,21,1,3,0,6,0,1,1
280,21,0,1,2,7,0,0,1
281,22,0,4,1,8,1,0,1
282,21,1,4,0,6,1,1,1
283,21,1,6,0,7,1,0,1
284,22,1,1,0,8,0,0,1
285,21,1,1,1,6,1,1,1
286,21,1,4,2,6,1,0,0
287,22,1,2,0,8,0,0,1
288,21,1,6,0,7,0,0,0
289,22,1,3,0,7,0,0,0
290,22,1,2,0,7,0,0,0
291,22,1,6,1,6,1,0,0
292,22,0,2,2,6,1,1,0
293,22,1,1,0,7,0,0,1
294,21,1,6,0,8,0,0,1
295,21,1,6,0,8,0,0,1
296,22,1,2,2,6,0,0,1
297,22,1,2,2,7,0,0,1
298,22,1,1,1,7,1,1,1
299,21,1,3,2,7,0,0,1
300,22,1,6,0,6,0,0,0
301,22,1,6,1,6,0,0,1
302,21,1,1,0,7,0,0,0
303,21,1,3,0,7,0,0,1
304,22,1,1,1,8,0,0,1
305,22,1,2,0,6,0,1,0
306,22,1,5,2,8,0,1,1
307,22,1,3,0,6,0,1,1
308,22,0,2,1,6,1,0,1
309,21,1,5,0,8,0,0,1
310,21,1,2,1,7,0,0,1
311,22,1,3,2,7,0,1,1
312,22,0,2,1,8,1,0,1
313,22,1,6,0,6,0,0,1
314,22,1,4,0,6,1,0,1
315,22,1,6,0,7,0,0,0
316,22,0,3,0,6,0,0,1
317,22,1,5,1,8,0,0,1
318,21,0,2,0,6,1,0,0
319,21,1,2,1,6,0,0,1
320,21,1,2,0,8,0,0,1
321,21,1,4,0,7,0,1,1
322,21,1,2,2,8,0,0,1
323,22,1,6,0,8,1,0,1
324,21,1,4,1,6,1,0,0
325,22,1,2,0,8,0,0,1
326,21,1,2,1,8,0,0,1
327,21,1,1,0,6,0,0,0
328,22,1,1,1,6,1,1,0
329,22,1,3,0,8,0,0,1
330,21,1,2,1,6,0,0,0
331,22,0,5,0,6,0,0,1
332,22,1,1,0,7,0,0,0
333,21,1,3,0,8,0,0,1
334,22,1,4,0,8,1,1,1
335,22,1,4,0,7,1,1,0
336,21,1,1,0,8,0,0,1
337,21,1,3,1,6,0,0,0
338,22,0,2,2,7,1,0,1
339,22,1,1,0,7,0,0,0
340,21,1,1,1,7,0,1,1
341,22,1,3,0,8,0,0,1
342,21,1,3,0,8,0,0,1
343,22,0,5,1,8,0,1,1
344,22,1,3,1,6,0,0,1
345,22,1,4,0,8,1,1,1
346,21,1,4,0,6,1,0,1
347,21,1,1,1,8,0,0,1
348,21,1,6,0,7,0,0,0
349,22,0,2,1,8,1,0,1
350,22,0,3,1,7,0,0,1
351,21,1,4,1,6,1,0,0
352,21,1,4,0,7,1,0,1
353,21,1,1,0,8,0,0,1
354,22,1,2,0,6,0,0,1
355,22,1,5,0,6,0,1,0
356,21,1,3,2,8,0,0,1
357,22,1,5,0,8,0,0,1
358,21,1,1,1,7,0,0,0
359,22,1,4,0,7,1,0,1
360,22,1,1,0,7,0,0,0
361,21,1,2,1,8,0,0,1
362,22,1,1,0,8,0,0,1
363,21,1,2,0,8,0,1,1
364,21,1,3,1,7,0,1,0
365,22,1,1,0,7,0,0,0
366,22,1,2,1,6,0,0,0
367,21,1,2,0,8,0,1,1
368,21,0,5,0,6,0,0,0
369,21,1,3,0,6,0,0,0
370,22,1,2,2,8,0,0,1
371,21,0,2,1,7,1,0,0
372,22,1,3,0,6,0,0,0
373,22,1,3,0,6,0,0,0
374,22,1,6,1,6,1,0,0
375,22,1,4,0,7,0,0,0
376,21,1,4,0,8,1,0,1
377,21,0,3,0,6,0,0,0
378,21,1,4,1,6,1,1,0
379,22,1,2,0,7,0,1,0
380,21,1,2,0,7,0,0,0
381,22,1,3,0,8,0,0,1
382,21,1,2,0,6,0,0,0
383,21,1,3,1,6,1,0,0
384,22,0,1,1,6,0,1,0
385,21,1,3,0,6,0,0,0
386,21,1,2,1,8,0,0,1
387,22,1,4,1,6,1,0,0
388,22,0,1,0,7,0,0,0
389,22,0,3,0,7,0,1,0
390,22,1,6,0,6,0,0,0
391,22,1,4,0,8,1,0,1
392,21,1,1,0,8,0,0,1
393,22,1,2,1,6,0,0,0
394,21,1,4,0,6,1,0,0
395,21,1,3,1,8,0,0,1
396,21,1,1,1,8,1,1,1
397,21,1,1,2,8,0,0,1
398,21,0,1,2,7,0,0,1
399,21,1,3,0,6,0,1,0
400,22,1,5,0,6,0,0,0
401,22,1,4,1,6,0,0,0
402,21,1,1,1,6,0,1,0
403,21,0,3,1,5,1,0,0
404,21,0,2,0,6,1,1,0
405,22,1,3,1,5,0,0,0
406,21,1,4,1,5,1,1,0
407,21,1,3,2,6,1,0,1
408,21,1,2,2,5,0,1,0
409,22,1,5,0,5,0,0,0
410,21,1,3,0,5,0,1,0
411,22,1,1,2,7,0,1,0
412,21,1,5,0,7,0,1,0
413,21,1,1,1,6,1,1,0
414,22,1,2,1,6,0,0,0
415,22,1,4,0,6,1,0,0
416,22,1,2,2,6,0,0,1
417,21,1,5,0,6,0,0,0
418,22,1,6,0,6,1,0,0
419,22,1,3,0,7,0,0,0
420,21,1,2,0,6,0,1,0
421,22,1,5,2,6,0,1,0
422,22,1,2,1,6,0,0,0
423,21,1,2,1,7,0,0,0
424,22,1,4,0,8,1,0,1
425,21,1,5,3,7,0,0,1
426,22,1,4,0,8,1,1,1
427,21,1,5,0,6,0,0,0
428,21,0,2,0,8,1,0,1
429,21,1,2,0,7,0,0,0
430,21,0,5,1,6,0,0,0
431,22,0,6,1,8,0,0,1
432,21,1,6,0,8,0,0,1
433,21,1,3,1,6,0,0,0
434,21,1,2,1,6,0,0,0
435,21,1,4,0,6,1,1,0
436,21,1,6,0,7,0,0,0
437,21,0,3,1,8,1,0,1
438,22,1,6,0,8,0,0,1
439,22,1,2,0,7,0,1,0
440,21,1,5,0,6,0,0,0
441,21,1,5,1,6,0,1,0
442,22,1,1,1,8,0,1,1
443,21,1,2,0,7,0,1,0
444,21,1,2,0,7,0,1,0
445,21,1,6,1,8,0,1,1
446,22,1,3,0,8,0,0,1
447,21,1,1,0,6,0,0,0
448,28,1,6,0,8,1,0,1
449,21,1,2,2,7,0,0,1
450,22,1,1,2,6,0,0,1
451,21,1,3,1,8,1,0,1
452,22,1,4,0,6,1,0,1
453,21,1,4,0,8,1,0,1
454,21,1,3,1,6,0,0,0
455,22,0,4,1,7,1,0,0
456,22,1,1,0,8,0,0,1
457,21,1,5,0,6,0,0,0
458,21,1,4,0,6,1,0,1
459,22,1,4,0,7,1,0,0
460,22,1,1,1,6,1,1,0
461,22,1,2,0,7,0,1,1
462,21,1,2,0,7,0,0,1
463,22,1,2,0,8,0,1,1
464,22,1,3,1,6,1,0,0
465,21,1,1,0,6,0,0,0
466,22,1,2,0,6,0,0,1
467,21,1,6,0,6,0,0,1
468,22,0,3,1,8,0,0,1
469,21,1,3,1,8,0,0,1
470,21,1,4,0,8,1,0,1
471,22,1,6,0,6,0,0,0
472,22,1,5,0,7,0,1,0
473,21,1,3,1,6,0,1,1
474,21,1,4,1,6,1,0,0
475,22,1,4,0,6,1,1,1
476,22,0,3,0,7,0,0,1
477,22,1,3,2,7,0,0,0
478,21,1,2,3,8,0,0,1
479,22,1,2,0,6,0,0,1
480,21,1,2,0,8,0,1,1
481,21,0,3,1,8,0,1,1
482,21,0,2,0,8,1,1,1
483,22,1,3,1,6,0,0,1
484,21,1,1,0,8,0,1,1
485,22,0,4,1,7,1,0,0
486,21,1,3,1,8,1,0,1
487,22,1,5,0,6,0,0,0
488,22,1,4,0,7,1,0,0
489,22,1,6,0,6,1,0,0
490,22,1,3,0,6,0,1,1
491,22,1,1,1,7,0,0,0
492,21,1,3,1,8,0,0,1
493,22,1,5,1,7,0,0,0
494,22,1,4,0,6,1,0,1
495,21,1,6,2,6,1,0,1
496,22,1,1,0,6,0,0,1
497,21,1,2,0,7,0,0,1
498,22,1,4,0,7,1,1,0
499,22,1,4,2,7,1,0,1
500,22,1,4,0,7,1,0,1
501,21,1,2,0,7,0,0,0
502,22,1,2,1,7,0,0,1
503,21,1,5,0,6,0,0,1
504,22,1,6,0,6,0,0,0
505,21,1,3,3,8,1,0,1
506,22,0,1,3,8,1,1,1
507,21,1,3,0,7,0,1,1
508,21,1,2,1,8,0,0,1
509,21,1,3,0,7,0,0,0
510,21,1,4,2,6,1,0,1
511,22,1,4,0,8,1,0,1
512,21,0,2,1,8,1,0,1
513,22,1,5,0,8,0,1,1
514,21,1,6,1,8,0,0,1
515,22,0,2,1,7,1,0,0
516,21,1,5,0,7,0,0,0
517,21,0,3,0,7,0,0,0
518,21,0,2,1,8,1,0,1
519,21,1,2,1,8,0,0,1
520,21,1,1,1,6,0,0,0
521,22,1,4,0,8,1,0,1
522,22,1,1,1,8,0,0,1
523,21,1,2,1,6,0,0,0
524,21,1,6,0,7,0,0,0
525,22,1,1,1,7,0,1,0
526,22,1,5,1,7,0,0,0
527,22,1,5,0,8,0,0,1
528,21,1,3,1,8,0,0,1
529,22,1,4,2,7,1,0,0
530,21,1,6,0,6,1,1,0
531,22,1,4,1,6,1,0,0
532,22,1,1,1,7,0,0,0
533,22,1,4,1,7,1,0,0
534,22,0,4,1,8,0,0,1
535,21,1,2,0,7,0,1,0
536,21,1,1,0,8,0,0,1
537,21,1,4,1,7,0,0,0
538,22,1,3,0,7,0,0,0
539,21,1,2,2,7,0,0,1
540,22,1,6,1,8,0,0,1
541,22,1,1,0,8,0,0,1
542,22,1,4,0,7,1,0,0
543,22,1,3,1,7,0,0,0
544,22,1,2,1,6,0,0,0
545,21,1,2,1,6,0,0,0
546,22,0,6,1,6,0,0,0
547,21,0,6,1,8,0,0,1
548,22,0,2,1,7,1,0,0
549,21,1,4,1,8,1,0,1
550,30,1,2,1,8,0,0,1
551,22,1,3,0,8,0,1,1
552,21,1,3,1,7,0,1,0
553,22,0,1,0,7,0,0,0
554,22,1,3,1,8,1,0,1
555,22,1,6,1,7,0,0,0
556,22,1,5,1,6,1,1,0
557,21,0,6,1,7,0,1,0
558,21,1,2,0,6,0,0,0
559,22,1,5,1,7,0,0,0
560,21,1,3,0,8,0,1,1
561,21,1,2,1,7,0,0,0
562,22,1,5,1,7,0,1,0
563,22,1,5,0,8,0,0,1
564,22,1,5,1,7,0,0,0
565,21,1,2,1,7,0,0,0
566,21,1,2,2,7,0,0,1
567,21,1,2,0,7,0,0,0
568,22,1,5,0,7,0,1,0
569,22,1,2,2,6,0,0,1
570,22,1,1,0,8,0,0,1
571,21,1,5,0,7,0,0,0
572,22,1,3,1,6,0,0,0
573,21,1,2,0,7,0,0,0
574,22,0,3,0,8,0,0,1
575,22,1,1,1,7,0,0,0
576,21,1,3,0,6,0,0,0
577,21,1,6,0,7,1,0,0
578,22,1,5,1,8,0,0,1
579,22,1,2,0,6,0,0,0
580,21,1,3,0,7,0,0,0
581,21,1,6,1,8,0,0,1
582,21,1,2,1,7,0,0,0
583,22,1,6,0,7,1,0,0
584,21,1,2,2,7,0,1,0
585,22,0,1,0,8,0,0,1
586,21,1,2,1,7,0,0,0
587,22,1,2,1,6,0,0,0
588,21,1,2,0,7,0,1,0
589,21,1,1,1,7,0,0,1
590,21,1,3,1,8,0,1,1
591,21,1,1,0,7,0,0,1
592,22,1,3,2,6,0,0,1
593,22,1,2,1,6,0,0,0
594,21,1,1,0,7,0,0,1
595,22,1,2,1,6,0,0,1
596,21,1,1,0,8,0,0,1
597,22,0,3,0,8,0,0,1
598,22,1,3,1,7,0,0,0
599,21,1,3,2,6,1,0,1
600,21,1,2,2,8,0,0,1
601,22,0,3,2,7,1,0,1
602,21,1,2,2,7,0,0,1
603,21,1,3,2,8,0,0,1
604,21,1,2,2,7,0,0,1
605,22,0,3,1,7,1,0,1
606,22,1,2,2,7,0,0,1
607,21,1,5,1,8,0,0,1
608,21,1,3,2,7,0,1,0
609,22,1,2,1,8,0,1,1
610,21,1,2,1,7,0,0,0
611,21,1,6,2,6,0,0,0
612,22,1,5,1,6,0,0,0
613,21,1,3,1,8,0,1,1
614,21,1,1,1,7,0,0,0
615,21,1,5,1,7,0,1,1
616,21,1,5,2,8,0,0,1
617,22,1,1,1,8,0,0,1
618,22,1,4,1,8,1,0,1
619,21,1,6,2,8,1,1,1
620,22,0,2,1,6,1,0,1
621,22,1,5,2,6,0,0,1
622,22,1,4,2,7,1,0,0
623,22,0,1,1,7,0,0,0
624,22,0,1,2,8,0,0,1
625,22,1,1,1,8,0,0,1
626,21,1,4,1,6,1,0,0
627,22,1,4,2,6,1,0,1
628,22,1,6,1,6,0,0,0
629,21,1,4,1,8,1,0,1
630,21,0,3,2,6,0,0,1
631,21,1,1,2,8,0,0,1
632,21,1,3,2,8,0,1,1
633,22,1,2,2,7,0,0,0
634,22,1,3,1,8,0,0,1
635,22,1,5,2,8,0,0,1
636,22,1,1,2,8,0,0,1
637,21,1,2,2,6,0,0,1
638,22,1,2,1,7,0,0,1
639,21,0,4,1,7,1,0,0
640,21,1,2,2,6,0,0,1
641,22,0,2,1,6,1,0,1
642,21,1,4,1,6,1,1,0
643,22,1,1,1,7,0,1,0
644,21,0,2,1,8,1,0,1
645,22,1,5,1,7,0,0,0
646,21,1,3,2,6,1,0,1
647,21,0,3,1,7,0,1,1
648,22,0,3,1,6,0,0,1
649,21,1,4,2,6,1,0,1
650,22,1,4,1,6,1,0,0
651,21,1,1,1,7,0,0,1
652,22,1,3,0,6,0,0,1
653,22,1,6,1,8,0,0,1
654,21,1,5,0,7,0,0,0
655,22,1,1,1,7,0,0,0
656,22,0,3,1,8,0,0,1
657,22,0,5,1,6,0,1,0
658,21,1,4,0,7,1,0,0
659,22,1,1,0,7,0,0,0
660,22,1,3,1,7,1,0,0
661,22,1,2,0,7,0,1,0
662,21,1,1,1,8,1,1,1
663,22,1,2,0,6,0,0,0
664,22,1,3,0,7,0,0,0
665,21,1,1,1,6,0,0,0
666,22,1,4,1,7,1,1,0
667,22,1,2,2,7,0,0,0
668,22,0,5,1,7,1,1,0
669,21,1,6,1,6,0,0,0
670,22,1,6,0,6,0,0,0
671,22,1,5,0,7,0,0,0
672,21,1,2,1,7,0,0,0
673,22,0,3,0,6,0,0,0
674,21,1,5,0,8,0,0,1
675,21,1,4,0,7,1,0,0
676,21,1,2,1,6,0,0,0
677,22,1,2,0,7,0,0,0
678,22,0,6,1,8,0,0,1
679,22,0,3,1,7,0,0,0
680,21,0,3,2,8,0,1,1
681,21,1,2,1,8,0,0,1
682,22,1,3,0,8,0,0,1
683,21,0,1,0,6,0,0,0
684,22,1,6,2,6,1,0,1
685,21,1,1,2,8,0,0,1
686,21,1,4,0,7,1,0,0
687,21,1,5,0,7,0,0,0
688,22,1,4,0,8,1,0,1
689,21,1,6,0,6,0,0,0
690,22,1,3,0,8,0,0,1
691,21,1,2,1,7,0,0,0
692,22,1,2,1,8,0,0,1
693,21,1,3,2,8,0,0,1
694,22,1,3,1,7,0,0,0
695,22,0,6,1,6,0,0,0
696,21,1,2,0,8,0,0,1
697,21,1,2,0,8,0,1,1
698,21,1,4,2,6,1,0,1
699,21,1,5,1,8,0,0,1
700,25,1,2,0,7,0,0,0
701,26,1,1,2,6,0,0,1
702,24,0,5,1,8,0,1,1
703,25,1,2,2,6,0,0,1
704,24,0,1,0,6,0,0,1
705,25,1,2,1,8,0,0,1
706,23,1,1,0,9,0,0,1
707,24,1,5,1,7,0,0,1
708,25,1,6,0,9,1,0,1
709,25,1,2,1,8,0,0,1
710,26,0,3,1,6,0,0,1
711,26,1,3,1,6,1,0,1
712,25,1,5,0,8,0,0,1
713,26,1,3,0,8,0,0,1
714,24,1,3,0,8,0,0,1
715,25,1,2,1,8,0,0,1
716,23,1,2,1,6,0,0,1
717,23,1,6,0,7,0,0,0
718,24,1,1,1,9,0,0,1
719,25,1,2,0,8,0,0,1
720,24,1,2,0,7,0,1,1
721,24,1,4,2,8,1,0,1
722,23,1,4,1,8,1,0,1
723,26,1,3,1,8,0,0,1
724,23,0,6,1,7,0,1,0
725,26,1,2,1,9,0,0,1
726,26,1,5,2,8,1,0,1
727,26,1,5,0,9,0,1,1
728,26,1,6,0,6,0,0,1
729,24,1,4,0,9,0,1,1
730,24,1,2,1,7,0,0,1
731,23,1,5,0,8,0,0,1
732,26,0,4,1,7,1,0,0
733,23,1,3,1,7,0,0,0
734,24,1,4,0,8,0,0,1
735,26,1,6,0,9,0,0,1
736,25,1,5,0,7,0,0,0
737,23,1,4,0,9,1,1,1
738,24,0,2,1,8,1,0,1
739,23,1,3,1,8,0,0,1
740,23,1,4,0,7,1,0,0
741,26,1,2,3,7,0,0,1
742,24,1,3,1,6,0,0,1
743,26,1,5,1,8,0,0,1
744,23,1,2,1,6,0,0,1
745,23,1,6,1,7,0,0,0
746,26,1,3,1,7,0,0,1
747,26,1,6,0,7,0,0,0
748,24,1,2,1,7,0,0,1
749,23,1,3,0,8,0,0,1
750,26,0,3,1,6,0,1,1
751,23,1,1,1,6,1,1,0
752,24,1,6,0,7,0,0,0
753,24,1,2,1,6,0,0,1
754,25,1,3,1,6,0,0,1
755,25,1,2,0,8,0,0,1
756,26,1,6,0,8,1,0,1
757,24,1,4,0,6,1,0,1
758,26,0,5,1,8,0,0,1
759,25,1,3,1,8,0,0,1
760,22,1,2,0,6,0,0,1
761,21,1,3,0,6,0,0,1
762,22,1,5,1,6,0,0,0
763,22,1,3,1,6,0,0,1
764,22,0,2,1,6,1,0,1
765,22,1,1,1,8,0,0,1
766,21,0,2,1,6,1,0,1
767,22,1,2,1,6,0,0,0
768,21,0,3,1,6,0,0,1
769,21,1,5,0,8,0,0,1
770,22,1,4,0,7,1,0,0
771,22,0,2,2,8,1,0,1
